time_ms,temp1_v,temp2_v,trigger
 11589,161,180,1
 11607,161,180,1
 11626,161,180,1
 11645,161,180,0
 11664,161,180,0
 11682,161,180,1
 11701,161,180,1
 11720,161,180,1
 11738,161,180,1
 11757,161,180,1
 11775,161,180,1
 11795,160,180,1
 11813,161,180,1
 11832,161,180,1
 11851,161,180,1
 11870,161,179,1
 11888,161,180,1
 11906,161,179,1
 11926,161,180,1
 11944,161,180,1
 11963,161,180,1
 11982,161,180,1
 12001,161,180,1
 12019,161,179,0
 12037,161,180,0
 12057,161,180,1
 12075,161,180,1
 12094,161,180,1
 12113,161,180,1
 12132,161,180,1
 12150,161,180,1
 12169,161,180,1
 12188,161,180,1
 12206,163,180,1
 12225,161,180,1
 12244,161,180,1
 12263,161,180,1
 12281,161,180,1
 12300,161,180,1
 12319,161,180,1
 12337,160,180,1
 12356,161,180,1
 12374,161,179,0
 12394,161,180,0
 12412,161,180,1
 12431,161,180,1
 12450,161,179,1
 12469,161,180,1
 12487,161,180,1
 12505,161,180,1
 12525,161,180,1
 12543,161,179,1
 12562,161,179,1
 12581,161,180,1
 12600,161,180,1
 12618,161,180,1
 12636,161,180,1
 12656,161,180,1
 12674,161,180,1
 12693,161,180,1
 12712,161,179,1
 12731,161,180,0
 12749,161,180,0
 12768,161,180,1
 12787,161,179,1
 12805,161,180,1
 12824,161,180,1
 12843,161,180,1
 12862,161,180,1
 12880,161,180,1
 12899,161,178,1
 12918,161,180,1
 12937,161,180,1
 12955,160,180,1
 12973,161,180,1
 12993,161,180,1
 13011,161,180,1
 13030,161,179,1
 13049,161,180,1
 13068,161,180,1
 13086,161,180,0
 13104,161,180,0
 13124,161,180,1
 13142,161,180,1
 13161,161,180,1
 13180,161,180,1
 13199,161,180,1
 13217,161,180,1
 13236,161,180,1
 13255,161,180,1
 13273,161,180,1
 13292,161,180,1
 13311,161,180,1
 13330,161,181,0
 13348,161,180,1
 13367,161,179,1
 13386,161,180,1
 13404,161,180,1
 13423,161,180,1
 13442,161,180,0
 13461,161,180,0
 13479,161,180,1
 13498,161,180,1
 13517,161,180,1
 13536,161,180,1
 13554,161,180,1
 13572,161,181,1
 13592,161,180,1
 13610,161,180,1
 13629,160,180,1
 13648,161,180,1
 13667,161,180,1
 13685,161,180,0
 13704,161,180,1
 13723,161,180,1
 13741,161,180,1
 13760,159,180,1
 13779,161,180,1
 13798,161,181,0
 13816,162,180,0
 13835,161,180,1
 13854,161,180,1
 13872,161,180,1
 13891,161,181,1
 13910,161,180,1
 13929,161,180,1
 13947,161,180,1
 13966,161,180,1
 13985,161,180,1
 14004,161,180,1
 14022,161,180,1
 14041,161,180,0
 14060,161,180,1
 14078,161,180,1
 14097,161,180,1
 14116,161,180,1
 14135,161,180,1
 14153,161,181,0
 14171,161,180,0
 14191,161,181,1
 14209,161,180,1
 14228,161,180,1
 14247,161,180,1
 14266,161,180,1
 14284,161,180,1
 14303,160,180,1
 14322,161,180,1
 14340,161,180,1
